2,Exportaciones de mercaderías (US$ a precios actuales),Población urbana (% del total),"Población, hombres (% del total)","Población, total","Tasa de inactividad por edades, personas menores de 15 años (% de la población en edad de trabajar)","Población de 80 años en adelante, varones (% de la población masculina)","Población de 70 a 74 años, varones (% de la población masculina)","Población de 65 años de edad y más, hombres (% del total)","Población de 65 a 69 años, varones (% de la población masculina)","Población de 55 a 59 años, varones (% de la población masculina)","Población de 45 a 49 años, varones (% de la población masculina)","Población de 35 a 39 años, varones (% de la población masculina)","Población de 25 a 29 años, varones (% de la población masculina)",Población entre 15 y 64 años de edad (% del total),"Población entre 15 y 64 años de edad, mujeres (% del total)","Población de 10 a 14 años, varones (% de la población masculina)",Población entre 0 y 14 años de edad (% del total),"Población entre 0 y 14 años de edad, mujeres (% del total)",Factor de conversión alternativo del Departamento de Economía del Desarrollo del Banco Mundial: DEC (UMN por US$),Gasto militar (% del PIB),Suscripciones a telefonía fija (por cada 100 personas),Importaciones de mercaderías (US$ a precios actuales),Población urbana,Población rural,"Población, hombres","Tasa de inactividad por edades, personas de 65 años y más (% de la población en edad de trabajar)","Población de 80 años en adelante, mujeres (% de la población femenina)","Población de 70 a 74 años, mujeres (% de la población femenina)","Población de 65 años de edad y más, hombres","Población de 65 a 69 años, mujeres (% de la población femenina)","Población de 55 a 59 años, mujeres (% de la población femenina)","Población de 45 a 49 años, mujeres (% de la población femenina)","Población de 35 a 39 años, mujeres (% de la población femenina)","Población de 25 a 29 años, mujeres (% de la población femenina)","Población entre 15 y 64 años de edad, total","Población entre 15 y 64 años de edad, mujeres","Población de 10 a 14 años, mujeres (% de la población femenina)","Población entre 0 y 14 años de edad, total","Población entre 0 y 14 años de edad, mujeres",Gasto militar (UMN a precios actuales),"Transferencias de armamento, importaciones (valores del indicador de tendencia del Instituto Internacional de Investigación para la Paz de Estocolmo) (SIPRI)",Suscripciones a telefonía fija,"Transferencias de armamento, exportaciones (valores del indicador de tendencia del Instituto Internacional de Investigación para la Paz de Estocolmo) (SIPRI)",Military expenditure (current USD),Población en aglomerados urbanos de más de 1 millón de personas,"Población, mujeres (% del total)",Tasa de inactividad por edades (% de la población en edad de trabajar),"Población de 75 a 79 años, varones (% de la población masculina)",Población de 65 años de edad y más (% del total),"Población de 65 años de edad y más, mujeres (% del total)","Población de 50 a 64 años, varones (% de la población masculina)","Población de 50 a 54 años, varones (% de la población masculina)","Población de 40 a 44 años, varones (% de la población masculina)","Población de 30 a 34 años, varones (% de la población masculina)","Población de 20 a 24 años, varones (% de la población masculina)","Población entre 15 y 64 años de edad, hombres (% del total)","Población de 15 a 19 años, varones (% de la población masculina)","Población de 5 a 9 años, varones (% de la población masculina)","Población entre 0 y 14 años de edad, hombres (% del total)","Población de 0 a 4 años, varones (% de la población masculina)","Total de reservas (incluye oro, US$ a precios actuales)",Población de la ciudad con más habitantes (% de la población urbana),"Inflación, precios al consumidor (% anual)",Total de reservas menos oro (US$ a precios actuales),Población de la ciudad con más habitantes,Población de refugiados por país o territorio de asilo,Índice de precios al consumidor (2010 = 100),Población en aglomerados urbanos > 1 millón (% de la población total),Población rural (% de la población total),"Población, mujeres","Población de 75 a 79 años, mujeres (% de la población femenina)","Población de 65 años de edad y más, total","Población de 65 años de edad y más, mujeres","Población de 50 a 64 años, mujeres (% de la población femenina)","Población de 50 a 54 años, mujeres (% de la población femenina)","Población de 40 a 44 años, mujeres (% de la población femenina)","Población de 30 a 34 años, mujeres (% de la población femenina)","Tasa de cambio oficial (UMN por US$, promedio para un período)","Población de 20 a 24 años, mujeres (% de la población femenina)","Población entre 15 y 64 años de edad, hombres","Población de 15 a 19 años, mujeres (% de la población femenina)","Población de 5 a 9 años, mujeres (% de la población femenina)","Población entre 0 y 14 años de edad, hombres","Población de 0 a 4 años, mujeres (% de la población femenina)"
1960,11416000000.0,71.384,46.7297759851866,72814900.0,31.235493163187144,1.40626925065816,2.86864013171384,9.93170052288055,3.74682124565477,6.8114487744842,6.17035192925158,5.94053279898077,7.46507985069577,67.4136751501549,67.7930174469085,6.82556314744542,21.0569934904059,19.2761753310571,2.14742588996887,3.7698628621708004,4.408468529,10172000000.0,51978188.0,20836712.0,34026240.0,17.10236273407324,1.76587981558171,3.74530267166653,3379384.0,5.02137479417223,7.09920675993659,7.4787711738593,7.19340479628406,6.17704978651284,49087200.0,26296003.0,5.69349575572496,15332629.0,7476970.0,5830696094.40509,2054000000.0,3220990.0,156000000.0,2715197279.7274404,6919572.0,53.2702240148134,48.33785589726038,1.90996989485378,11.5293313594392,12.9308072220344,5.20609774301394,6.90957134467725,4.06697792778892,7.12726043227969,9.3775246667266,66.9812389112731,7.90639344337438,7.68871460692474,23.0870605658464,8.57278281147619,7083840800.0,6.27154028532122,1.53661234295201,4061650000.0,3259833.0,197000.0,24.6460704672795,9.502961619119164,28.616,38788660.0,2.39824994061397,8395071.0,5015687.0,6.16642061605845,7.79925081177174,5.01280234379246,6.50993526187731,4.2000000032,7.71775151242471,22791197.0,6.63842438439099,6.45315642748725,7855659.0,7.12952314784489
1961,12651000000.0,71.697,46.8035515185476,73377632.0,32.31431843060687,1.4194102410667,2.85016609191871,9.95324061573874,3.78073977004305,6.76871648612894,5.62263427816559,5.92370586135798,7.71920049750579,66.7332234245161,66.998227143894,7.15814362020919,21.5643868259872,19.7604384003248,2.06221032142639,3.7399062756664603,4.38742,11011000000.0,52609561.0,20768071.0,34343338.0,17.536076503689944,1.81976339205379,3.82931785443548,3418275.0,5.13195437260493,7.15311147024314,6.89363307752711,6.94291299137084,6.3642216613615,48967259.0,26152285.0,5.9737992421791,15823436.0,7713348.0,6340786696.01595,2039000000.0,3220990.0,12000000.0,3074753151.23869,6980524.0,53.1964484814524,49.85039493429681,1.90292451271027,11.7023897494967,13.2413344557812,5.41532762128253,6.67978327722721,4.45605537052357,7.27385664824213,9.49819269240261,66.4320228522671,7.07455011943079,7.69998974003894,23.6147365319941,8.75660317174599,7180500800.0,6.182043602302631,2.29369500700881,3501280000.0,3252346.0,190000.0,25.2113761550113,9.51314972933441,28.302999999999997,39034294.0,2.46029883668705,8586936.0,5168661.0,6.25073138997834,7.74757988132162,5.5245821352925,6.33885318766505,4.03333333636667,7.80801421063592,22814974.0,5.97458713849797,6.47591266870367,8110089.0,7.31072648944201
1962,13244000000.0,71.762,46.872800415697,74025784.0,33.23294803539559,1.43032601588725,2.82836776482872,9.99869698369481,3.84301101979709,6.65957500677567,4.94009812778137,5.9936837855328,8.04954101635243,66.1333194796403,66.2789543657289,7.34372973472138,21.9780520815876,20.1649778403784,2.04516744613647,4.4959672202832905,4.38742,12375000000.0,53122383.0,20903401.0,34697958.0,17.976759727384596,1.87682398756996,3.90997481696859,3469344.0,5.23963836796502,7.19277634010246,6.12061191734669,6.70196789921409,6.62509324875819,48955708.0,26066071.0,6.1450021519676,16269425.0,7930447.0,8293890569.94539,2478000000.0,3220990.0,147000000.0,4055355090.25919,6996913.0,53.1271982364926,51.20970776278019,1.89699218318175,11.8886284387721,13.5560677938926,5.61080575046126,6.47731518773981,4.95234041382205,7.28769126343454,9.35289087531022,65.9682520357599,6.64431060854973,7.75300883832668,24.0330509805453,8.93631240749724,6964883190.0,6.112886539747285,2.84327019799063,3278430000.0,3247311.0,185000.0,25.9282036997301,9.451994456418051,28.238,39327825.0,2.52963062138905,8800650.0,5331307.0,6.34752177432234,7.65700896418499,6.15103121298035,6.15890336796566,4.000000003,7.6954412155135,22889636.0,5.62859842534068,6.53096099782292,8338978.0,7.4890146905879
1963,14578000000.0,71.826,46.9363965292523,74714353.0,34.03652910518988,1.42919652384363,2.79883310421956,10.0535102346782,3.93486578475299,6.5404377749132,4.25377973633684,6.23725873462401,8.45744788198737,65.602161633374,65.6355351200715,7.44006509194405,22.3286993088922,20.5124399310055,2.04516744613647,4.89928397485692,4.38742,13070000000.0,53664331.0,21050022.0,35068225.0,18.397471134454808,1.9293646146674,3.98165825383491,3525588.0,5.3386193233794,7.24658032945634,5.31645103024424,6.53814734042589,6.95660993446414,49014231.0,26021949.0,6.24708597868624,16682743.0,8132388.0,9589025574.10921,3297000000.0,3220990.0,134000000.0,4688620297.63257,7013766.0,53.0636048077137,52.43400023964468,1.89061482186202,12.0691390577338,13.852024948923,5.7492443347305,6.28438086307213,5.4001224298013,7.16564556140983,9.00084210544906,65.5644314779863,6.47527205566205,7.8408353335124,24.3820582873355,9.10115786187907,7659475440.0,6.041785930397604,2.96695977587712,3807060000.0,3242284.0,182000.0,26.6974830741086,9.387441259111217,28.174000000000007,39646129.0,2.60238275704128,9017379.0,5491792.0,6.41980768297081,7.55901758469587,6.7120355980686,5.96661430110264,4.000000003,7.43242638890838,22992282.0,5.48784492973456,6.61003020718113,8550355.0,7.65532374513817
1964,16230000000.0,71.891,46.996252945627,75318337.0,34.740117926895294,1.43567559527953,2.78103659896345,10.1631478521353,4.06398311893245,6.40047574204885,3.80496590323006,6.56839407675871,8.83001386372568,65.1013567839819,65.0334422330559,7.47152447619801,22.6162884042996,20.805188814759,2.04516744613647,4.38429971954757,4.38742,14710000000.0,54147106.0,21171231.0,35396796.0,18.866510586212513,1.99412814496883,4.06719889576907,3597429.0,5.42152147183097,7.30296273033004,4.77052200701176,6.41895387977306,7.2600106886072,49033259.0,25962352.0,6.30327153177146,17034212.0,8305752.0,9410460918.03691,3723000000.0,3220990.0,438000000.0,4601309875.48072,7031118.0,53.0037457285218,53.606628513107815,1.88245253895989,12.2823548117186,14.1613689521851,5.82812785931496,6.04952598522159,5.64608103072102,7.12202762958446,8.53518029536649,65.1779527956243,6.39316040965241,7.96650982712498,24.6588993522404,9.22086504891744,7895954160.0,5.978633465655579,2.33573581177832,3633510000.0,3237257.0,180000.0,27.321065747114,9.335200802428762,28.108999999999995,39921540.0,2.67852043961619,9250865.0,5653437.0,6.47164023343838,7.40527493896825,7.01356237420156,5.88884849080643,4.000000003,7.09345302172028,23070907.0,5.40821386819894,6.7204023699041,8728460.0,7.78151491308346
1965,17913000000.0,71.955,47.0521197910993,75963695.0,35.31514963261197,1.44466839345342,2.7771928699422,10.3126662238619,4.2259057339566,6.21382310874918,3.80936439719647,6.83142801828363,9.08362932340661,64.6556594354817,64.504854077141,7.46217256576363,22.833242253237,21.0304114650122,2.04516744613647,4.09107245058985,6.37185859,17612000000.0,54659677.0,21304018.0,35742529.0,19.350353827972278,2.06752557471266,4.1565848081708,3686008.0,5.49530799347818,7.32011636049499,4.79149055975901,6.28465276307741,7.46308748503719,49114828.0,25944604.0,6.31936319783588,17344975.0,8458677.0,9584319072.89486,3323000000.0,4845000.0,328000000.0,4686319021.350241,7048908.0,52.9478802089007,54.66550346058424,1.86489922650968,12.5110983112812,14.4647344578468,5.86801249056611,5.70142474511345,5.67226654408222,7.25703796923527,7.79532150347589,64.82536111678711,6.59305301667821,8.13058910648548,24.8619726593511,9.26921098710196,7445164400.0,5.913414014502867,3.24231923668134,3020220000.0,3232253.0,180000.0,28.206901917499,9.279311650124445,28.045,40221166.0,2.74531608148513,9503893.0,5817885.0,6.52883792074946,7.09012511168746,6.94765696492898,5.98022701188164,4.000000003,6.53148693707705,23170223.0,5.56717296244787,6.87090628089471,8886298.0,7.84014198628163
1966,20157000000.0,72.019,47.1042584425456,76600311.0,35.848964600474815,1.44437297631261,2.79697294686456,10.4802783145276,4.39129323090024,6.01244038696087,4.17690823098419,6.9773973212695,9.22897042831947,64.2274151672511,64.005112510074,7.47304608685933,23.0248639446324,21.2279832202583,2.04516744613647,3.9092968375277697,6.35343,18167000000.0,55166778.0,21433533.0,36082008.0,19.847787732934403,2.13534642529878,4.25195397137105,3781495.0,5.56761970031241,7.2665830414315,5.2839728545948,6.13055714824583,7.5822250213818,49198400.0,25933785.0,6.34238951244555,17637117.0,8601218.0,9748105315.15412,3211000000.0,4845000.0,712000000.0,4766403435.97555,7067211.0,52.8957402522903,55.696752333409215,1.84763916045024,12.7477208881164,14.7669042696676,5.83256983977968,5.19167996788534,5.64757747139026,7.47804183673136,7.0033680165277,64.4770500016653,6.9280965018169,8.32174723899618,25.0426716838071,9.2478783579516,8052102610.0,5.849986381296366,3.53306035477688,3737140000.0,3227249.0,140000.0,29.203468786457,9.226086562494505,27.980999999999995,40518302.0,2.81198417268539,9764794.0,5983299.0,6.57389220980661,6.52864945656448,6.70538142884417,6.15990349890492,4.000000003,5.91481637866132,23264614.0,5.85913147163862,7.04951356206182,9035899.0,7.83608014575095
1967,21761000000.0,72.083,47.1519640931914,76951336.0,36.34197914820903,1.44719073321521,2.84124842597713,10.6706174561103,4.55164619058882,5.84203887424788,4.64686630412608,6.99757154977616,9.12603973654509,63.8051304712825,63.5105797496454,7.52839630485117,23.1880465372117,21.3981929207388,2.04516744613647,4.07767629351234,6.35343,17546000000.0,55468832.0,21482504.0,36284066.0,20.385230626348044,2.21013841756572,4.34758414845093,3871734.0,5.65597895171886,7.18470388460302,5.89153169859644,5.97002925704408,7.50870522353623,49098900.0,25828020.0,6.39811985413749,17843512.0,8702061.0,10303472458.447,1351000000.0,4845000.0,772000000.0,5037954037.291269,7086016.0,52.8480372025893,56.72720977455706,1.83053210632912,13.0068229915058,15.0912273296158,5.74780944891478,4.56196391281499,5.70559184132401,7.78600821507239,6.59090022518027,64.1352636483067,7.13047354030509,8.5153209930774,25.194118895583,9.15040159765443,8176362000.0,5.8091235813294215,1.79604992213171,3924730000.0,3222253.0,112000.0,29.7279776648559,9.208437914580196,27.917,40667271.0,2.87752581188028,10008924.0,6137190.0,6.61280938924461,5.79601795849562,6.47168296509564,6.42073372206073,4.000000003,5.60029999479216,23270881.0,6.05406565617682,7.23163323861483,9141451.0,7.76843982798651
1968,24888000000.0,72.147,47.1950332718467,77294314.0,36.719070981524716,1.44068999975426,2.90676128191658,10.8262767196429,4.67129663355261,5.68651381891575,5.07238966329332,6.88934127904008,8.8241394361041,63.4666023131663,63.102561506318,7.62567817873785,23.3043461820619,21.5208800397522,2.04516744613647,3.40638728996724,6.35343,20295000000.0,55765529.0,21528785.0,36479077.0,20.844115637054124,2.27753649443502,4.43617958059401,3949326.0,5.72623921729346,7.10429546353997,6.43914845856913,5.79962521168533,7.28773849884167,49056075.0,25755461.0,6.48143765916604,18012935.0,8783798.0,9293476123.85312,1218000000.0,4845000.0,589000000.0,4544109352.20696,7105358.0,52.8049680160476,57.56318661857884,1.80752880441948,13.2290515047718,15.3765584539298,5.65837227770157,3.93233319000818,5.93579670763479,8.18498329429425,6.44308806839722,63.8739155802065,7.24695784481721,8.7068673233372,25.2998077001506,8.96726219807555,10843279100.0,5.7692575641127695,1.47028931327699,5409310000.0,3217257.0,110000.0,30.1650649435156,9.192601153042123,27.852999999999994,40815238.0,2.93660316160737,10225305.0,6275979.0,6.67239514322714,5.04012931485849,6.32007456694087,6.76144294635268,4.000000003,5.49200597160877,23300615.0,6.18570593069393,7.41364636821216,9229136.0,7.62579601237399
1969,28852000000.0,72.211,47.232214177,77909682.0,36.935773388756715,1.42695379451749,2.99572094337552,10.9558347365561,4.74632231827355,5.49870330774479,5.31388919379065,6.86220014487737,8.41531745433929,63.2219043963162,62.7869328904896,7.77309461644846,23.3514999339433,21.5749042243228,2.01619410514832,3.3986228937298697,6.35343,24876000000.0,56259360.0,21650322.0,36798468.0,21.23725269122118,2.34001867876522,4.51295190128074,4031579.0,5.78278460715442,6.98057998231624,6.74505972992602,5.74450980290225,6.99429050498692,49255985.0,25812471.0,6.6035187458846,18193079.0,8869705.0,10384424279.3337,1243000000.0,4845000.0,875000000.0,5150518690.86432,7125165.0,52.7677871048461,58.173026079977895,1.78683768038957,13.4265956697406,15.6381628851876,5.55422882393743,3.52726455638947,6.26392115498827,8.5689173780889,6.39776371624698,63.7078541771495,7.30564844674632,8.87451465380915,25.3363110862944,8.68870181603678,7152711600.0,5.709775226735605,1.91267848797607,3049870000.0,3212283.0,113000.0,30.7420256515743,9.145416612020057,27.789,41111215.0,3.00240769798721,10460618.0,6429039.0,6.74336291913838,4.53589710714288,6.22347928464886,7.08896695972949,3.94333333594333,5.45382923189347,23443514.0,6.27695736780508,7.57180740495515,9323374.0,7.39957807348306
